timestamp,ambient (ground),tank (left),ambient (tank),tank (right),line (outer),line (inner)
1564273955.28,516,599,524,604,522,478
1564273956.28,516,598,524,604,522,478
1564273957.28,516,599,525,604,522,478
1564273958.28,516,599,525,604,522,478
1564273959.28,516,599,525,604,522,478
1564273960.29,516,599,524,604,522,477
1564273961.28,516,599,524,604,522,478
1564273962.29,516,598,524,605,522,478
1564273963.29,516,598,524,604,522,478
1564273964.29,516,598,524,604,522,478
1564273965.29,516,598,525,605,522,477
1564273966.3,516,598,525,605,522,478
1564273967.3,516,598,524,605,522,478
1564273968.3,516,598,525,605,522,477
1564273969.3,516,597,525,605,522,478
1564273970.3,516,598,526,604,522,477
1564273971.31,516,597,526,605,522,477
1564273972.31,516,597,526,605,522,477
1564273973.31,516,598,526,604,522,477
1564273974.31,516,598,526,605,522,477
1564273975.32,516,597,526,605,522,477
1564273976.32,516,597,526,605,522,477
1564273977.32,516,597,525,605,522,478
1564273978.32,516,597,525,604,522,478
1564273979.32,516,597,525,604,522,477
1564273980.33,516,597,525,604,522,477
1564273981.32,516,597,525,604,522,478
1564273982.33,516,597,525,604,522,478
1564273983.33,516,596,524,604,522,478
1564273984.33,516,596,525,605,522,478
1564273985.33,516,596,524,604,522,477
1564273986.34,516,596,524,604,522,477
1564273987.34,516,596,524,604,522,477
1564273988.34,516,596,524,604,522,477
1564273989.34,516,596,524,604,522,477
1564273990.34,516,596,524,604,522,477
1564273991.35,516,596,524,604,522,477
1564273992.35,516,596,524,604,522,477
1564273993.35,516,596,525,604,522,477
1564273994.35,516,596,524,604,522,477
1564273995.35,516,596,524,604,522,477
1564273996.36,516,596,524,604,522,477
1564273997.36,516,596,525,604,522,478
1564273998.36,516,597,524,604,522,477
1564273999.36,516,596,524,603,522,477
1564274000.37,515,596,524,604,522,477
1564274001.36,516,596,524,603,522,477
1564274002.37,516,596,523,603,522,477
1564274003.37,516,596,523,603,522,477
1564274004.37,516,596,523,604,522,477
1564274005.37,516,596,523,603,522,477
1564274006.38,516,596,522,603,522,477
1564274007.38,516,596,522,604,522,477
1564274008.38,516,596,521,604,521,477
1564274009.38,516,596,522,604,522,477
1564274010.38,516,596,522,603,522,477
1564274011.39,516,596,521,604,521,476
1564274012.39,516,596,522,604,521,477
1564274013.39,516,596,522,603,521,477
1564274014.39,516,596,522,604,521,477
1564274015.39,516,596,521,604,521,477
1564274016.4,516,596,521,604,521,477
1564274017.4,516,596,521,604,521,477
1564274018.4,516,596,521,604,521,477
1564274019.4,516,596,521,604,521,477
1564274020.41,516,596,521,604,521,477
1564274021.41,515,596,521,604,521,477
1564274022.41,516,597,520,603,521,477
1564274023.41,516,596,520,604,521,477
1564274024.41,515,596,520,604,521,476
1564274025.41,516,596,520,604,521,477
1564274026.41,516,596,520,604,521,477
1564274027.42,515,596,520,604,521,477
1564274028.42,515,596,519,604,521,477
1564274029.42,515,596,520,604,521,477
1564274030.42,515,596,520,604,521,477
1564274031.43,515,596,520,604,521,477
1564274032.43,515,596,520,604,521,477
1564274033.43,515,596,520,604,521,477
1564274034.43,515,597,520,604,521,477
1564274035.43,515,596,520,604,521,477
1564274036.44,515,596,520,603,521,477
1564274037.44,515,596,521,604,521,476
1564274038.44,515,596,520,604,521,477
1564274039.44,515,596,520,604,521,477
1564274040.45,515,596,520,604,521,476
1564274041.45,515,596,519,604,521,476
1564274042.45,515,596,520,604,521,477
1564274043.45,515,596,521,604,521,477
1564274044.45,515,596,521,604,521,477
1564274045.45,515,596,521,603,521,477
1564274046.45,515,596,521,604,521,477
1564274047.46,515,596,521,603,521,477
1564274048.46,515,596,522,603,521,477
1564274049.46,515,596,522,604,521,476
1564274050.46,515,597,522,603,521,477
1564274051.47,515,596,522,603,521,477
1564274052.47,515,596,522,603,521,476
1564274053.47,515,596,521,603,521,477
1564274054.47,515,596,520,603,521,476
1564274055.47,515,596,521,603,521,476
1564274056.48,516,596,520,603,521,477
1564274057.48,515,596,519,603,521,476
1564274058.48,515,596,519,603,521,477
1564274059.48,515,596,519,603,521,476
1564274060.48,515,596,519,603,521,476
1564274061.49,515,596,519,603,521,477
1564274062.49,515,596,519,603,521,477
1564274063.49,515,596,519,603,521,477
1564274064.49,516,596,519,603,521,477
1564274065.5,515,596,519,603,521,477
1564274066.49,515,596,519,603,521,476
1564274067.5,515,596,519,602,521,477
1564274068.5,515,596,520,603,521,477
1564274069.5,515,596,520,603,521,477
1564274070.5,515,596,520,603,521,476
1564274071.51,515,596,520,602,521,477
1564274072.51,515,596,521,603,521,477
1564274073.51,516,596,521,603,521,476
1564274074.51,515,596,521,603,521,477
1564274075.51,516,596,521,603,521,476
1564274076.52,515,596,521,603,521,476
1564274077.52,515,596,522,603,520,476
1564274078.52,515,596,521,603,521,476
1564274079.52,515,596,521,603,521,476
1564274080.52,515,596,521,603,521,476
1564274081.53,515,596,521,603,521,477
1564274082.53,515,596,521,603,521,476
1564274083.53,515,596,521,603,521,477
1564274084.53,515,596,522,603,521,476
1564274085.54,515,596,521,603,521,476
1564274086.53,515,596,522,603,521,476
1564274087.54,515,596,522,603,521,476
1564274088.54,515,596,522,603,521,477
1564274089.54,515,596,522,603,521,477
1564274090.54,515,596,523,603,521,476
1564274091.55,515,596,523,603,520,476
1564274092.55,515,596,522,603,521,476
1564274093.55,515,596,522,603,521,476
1564274094.55,515,596,523,603,521,477
1564274095.55,515,596,523,603,521,476
1564274096.56,515,597,523,603,521,476
1564274097.56,515,597,522,603,521,476
1564274098.56,515,596,522,603,521,476
